numGradEvals	TrainLoss	TrainCost	TrainErr	TestLoss	TestCost	TestErr
79.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
80.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
81.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
82.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
83.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
84.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
85.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
86.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
87.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
88.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
89.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
90.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
91.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
92.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
93.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
94.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
95.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
96.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
97.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
98.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
99.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
100.000000	0.463976	0.470318	21.656000	0.467533	0.473874	21.855200
